Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
1,102A12270,外筒底板組,102A12270 -02,,0,Z0511,0,0
1,102A12270Y,外筒底板組,102A12270Y -03,,0,Z0511,0,0
1,102A12462,外筒組,102A12462 -03,,0,Z0520,0,0
1,102A12463,外筒スポット組,102A12463 -00,,0,Z0511,0,0
1,102A12463Y,外筒スポット組,102A12463Y -00,,0,Z0102,0,0
1,102A12478,外筒組,102A12478 -03,,0,Z0520,0,0
1,102A12691,外筒組,102A12691 -01,,0,Z0520,0.68,0
1,102A12991,外筒組,102A12991 -00,,0,Z0520,0,0
1,102A12992A,外筒底板組,102A12992A -00,,0,Z0511,0,0
1,102A12993A,触媒組,102A12993A -00,,0,Z0511,0,0
1,102A13026,外筒組,102A13026 -01,,0,Z0520,0,0
1,102A13029,外筒組,102A13029 -01,,0,Z0520,0,0
1,102A13056,外筒組,102A13056 -01,,0,Z0520,1.02,0
1,102A13057,外筒底板組,102A13057 -01,,0,Z0511,0.45,0
1,102A13057Y,外筒底板組,102A13057Y -01,,0,Z0102,0.45,0
1,102A13423,外筒組,102A13423 -00,,0,Z0520,0,0
1,102A13441,外筒組,102A13441 -02,,0,Z0520,0.64,0
1,102A13442Y,外筒底板組,102A13442Y -01,,0,Z0511,0,0
1,102A14087,外筒組,102A14087 -00,,0,Z0520,0,0
1,102A14139,外筒組,102A14139 -00,,0,Z0102,1.02,0
1,102A14140,外筒底板組,102A14140 -00,,0,Z0511,0.45,0
1,102A14140Y,外筒底板組,102A14140Y -00,,0,Z0102,0.45,0
1,102A14141,外筒組,102A14141 -00,,0,Z0520,0,0
1,102A14142,外筒組,102A14142 -00,,0,Z0520,0,0
1,102A14143BA,外筒底板組,102A14143BA -00,,0,Z0511,0.75,0
1,102A14144B,触媒組,102A14144B -00,,0,Z0511,0,0
1,102A14144Y,触媒組,102A14144Y -00,,0,Z0511,0,0
1,102A14150,外筒組,102A14150 -00,,0,Z0520,0,0
1,102A14417,外筒組,102A14417 -00,,0,Z0520,1.02,0
1,102A14418Y,外筒底板組,102A14418Y -00,,0,Z0101,0.45,0
1,102A14487,外筒組,102A14487 -00,,0,Z0520,1.02,0
1,102A14487A,外筒組,102A14487A -00,,0,Z0520,1.02,0
1,102A14600,外筒組,102A14600 -00,,0,Z0520,1.02,0
1,102A14600A,外筒組,102A14600A -00,,0,Z0520,1.02,0
1,102A14600B,外筒組,102A14600B -00,,0,Z0520,1.02,0
1,102A14600C,外筒組,102A14600C -00,,0,Z0520,1.02,0
1,102A15078,外筒組,102A15078 -00,,0,Z0102,1.02,0
1,102A15082,外筒組,102A15082 -00,,0,Z0520,1.02,0
1,102A15082A,外筒組,102A15082A -00,,0,Z0520,1.02,0
1,102A15083,外筒組,102A15083 -01,,0,Z0102,0.48,0
1,102A15215,外筒組,102A15215 -01,,0,Z0520,1.02,0
1,102A15215A,外筒組,102A15215A -01,,0,Z0520,1.02,0
1,102A15323,外筒組,102A15323 -00,,0,Z0102,0.6,0
1,102A15379,外筒組,102A15379 -02,,0,Z0102,1.02,0
1,102A15379A,外筒組,102A15379A -01,,0,Z0520,1.02,0
1,102A15380A,外筒底板組,102A15380A -01,,0,Z0101,0.45,0
1,102A15436,外筒組,102A15436 -00,,0,Z0520,1.02,0
1,102A15456,外筒組,102A15456 -00,,0,Z0520,1.02,0
1,102A15518,外筒組,102A15518 -02,,0,Z0102,1.02,0
1,102A15518A,外筒組,102A15518A -01,,0,Z0102,1.02,0
1,102A15519B,外筒底板組,102A15519B -01,,0,Z0102,0.75,0
1,102A15552,外筒組,102A15552 -00,,0,Z0520,0,0
1,102A15552A,外筒組,102A15552A -00,,0,Z0102,1.02,0
1,102A15552B,外筒組,102A15552B -00,,0,Z0102,1.02,0
1,102A15629,外筒組,102A15629 -00,,0,Z0102,1.02,0
1,102A15629A,外筒組,102A15629A -00,,0,Z0102,1.02,0
1,102A15871,外筒組,102A15871 -04,,0,Z0102,0.68,0
1,102A15873A,外筒底板組,102A15873A -02,,0,Z0101,1,0
